place,category,x,y,address
컴앤쉽,음식점 > 카페,37.5098638753807,127.025824019477,서울 강남구 논현동 138-23
핑크래빗프레첼하우스,음식점 > 카페 > 테마카페 > 디저트카페,37.50963711397128,127.02445311898332,서울 강남구 논현동 145-5
와드커피 논현역점,음식점 > 카페,37.5100914652619,127.023239652247,서울 강남구 논현동 141-9
아카이브146,음식점 > 카페,37.5097433293935,127.024946288453,서울 강남구 논현동 146
영동다방,음식점 > 카페,37.50922799189877,127.02476967543156,서울 강남구 논현동 161-6
카페 유유히,음식점 > 카페,37.5099038138929,127.024440764484,서울 강남구 논현동 140-12
카페게이트 논현역점,음식점 > 카페 > 커피전문점 > 카페게이트,37.50992114056176,127.0234160425937,서울 강남구 논현동 144-20
커피플리즈,음식점 > 카페,37.5099076422793,127.023331209953,서울 강남구 논현동 144-20
쉬엉39,음식점 > 카페 > 테마카페 > 애견카페,37.5095386001132,127.025881590461,서울 강남구 논현동 159-3
셀렉커피랩 논현직영점,음식점 > 카페,37.5089520863556,127.025697029868,서울 강남구 논현동 160-6
커피덴티티 영동시장점,음식점 > 카페,37.50926581794038,127.02484659837587,서울 강남구 논현동 161-7
999존,"가정,생활 > 여가시설 > 보드카페",37.5079433954265,127.023615614641,서울 강남구 논현동 164-14
더랩,음식점 > 카페,37.5075322999918,127.02477363918,서울 강남구 논현동 167-8
뉴욕다방,음식점 > 카페 > 다방,37.5099724198214,127.023806269698,서울 강남구 논현동 140
애크미,음식점 > 카페 > 테마카페 > 디저트카페,37.5077844175538,127.02554281175,서울 강남구 논현동 167-16
테라,음식점 > 카페 > 테마카페 > 사주카페,37.5075109130901,127.0236154784,서울 강남구 논현동 164-11
오마이주스,음식점 > 카페,37.5101464892974,127.022918451319,서울 강남구 논현동 141-7
엠제이부티끄,음식점 > 카페 > 테마카페 > 애견카페,37.5095386001132,127.025881590461,서울 강남구 논현동 159-3
태백산앉은뱅이보살,음식점 > 카페 > 테마카페 > 사주카페,37.5098462398193,127.024000769316,서울 강남구 논현동 140-19
소소한구움,음식점 > 카페 > 테마카페 > 디저트카페,37.5077988248199,127.025583533157,서울 강남구 논현동 167-16
오레,음식점 > 카페 > 테마카페 > 디저트카페,37.5093216054721,127.025199500349,서울 강남구 논현동 146-16
지지,음식점 > 카페,37.50751613006728,127.02454290788538,서울 강남구 논현동 167-4
SOS커피&샌드위치 논현점,음식점 > 카페,37.5096810172639,127.025613582627,서울 강남구 논현동 146-15
쎌덮,음식점 > 카페,37.5096801167498,127.025611320235,서울 강남구 논현동 146-15
네버랜드,음식점 > 카페,37.5076326644887,127.027261897244,서울 강남구 논현동 180-2
1998,음식점 > 카페,37.51007800784658,127.02719039948607,서울 강남구 논현동 158
커피스미스 신논현점,음식점 > 카페 > 커피전문점,37.50746701488267,127.02666918838436,서울 강남구 논현동 181-9
지유가오카핫쵸메 7호점,음식점 > 카페 > 테마카페 > 디저트카페,37.5074343147479,127.027813757172,서울 강남구 논현동 180-14
개다방 어개인,음식점 > 카페 > 테마카페 > 애견카페,37.509739198831,127.02732600176,서울 강남구 논현동 158-13
멍돌핀,음식점 > 카페 > 테마카페 > 애견카페,37.5079678445473,127.027234874743,서울 강남구 논현동 170-28
하이멍그라미,음식점 > 카페 > 테마카페 > 애견카페,37.5083120257647,127.027246310002,서울 강남구 논현동 170
요거트아이스크림의정석 신논현점,음식점 > 카페 > 테마카페 > 디저트카페 > 요거트아이스크림의정석,37.509762479402134,127.02794808414242,서울 강남구 논현동 157-15
